;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;sub;AG
48;2;5;2;0;1;1;1;3;0;3;2;2;6;0;2;0;0;5;0;0;0;1;4;0;1;1;3;7;0;1;48;older
49;4;3;4;0;1;0;3;1;0;2;1;5;4;0;1;1;5;1;0;1;2;3;4;0;2;0;3;3;1;0;49;older
50;2;3;2;0;0;0;3;4;0;4;4;1;3;0;0;4;1;2;0;3;1;3;2;0;2;4;1;5;1;1;50;older
51;1;3;1;0;1;5;4;1;0;1;7;4;3;0;1;0;3;1;0;1;0;6;1;0;0;0;3;7;0;2;51;older
52;0;3;4;0;1;4;3;1;0;3;4;2;2;0;1;2;3;3;0;2;2;2;2;0;2;2;0;4;0;3;52;older
53;6;1;3;0;0;2;1;4;0;3;0;1;4;0;0;1;0;10;0;0;3;1;3;0;0;2;1;10;0;0;53;older
54;2;3;2;0;0;0;7;1;0;2;2;4;1;0;2;1;3;4;0;1;0;5;2;0;2;0;7;1;0;1;54;older
55;1;0;3;0;0;6;0;8;0;1;2;3;2;0;3;2;1;6;0;1;1;2;5;0;0;1;0;8;0;0;55;older
56;2;4;3;1;0;3;2;4;0;0;4;6;3;0;1;1;1;2;0;0;1;2;6;0;1;0;2;5;0;2;56;older
57;5;0;2;0;0;2;2;6;0;2;1;2;1;0;1;0;2;7;0;3;3;5;2;0;1;1;0;4;0;1;57;older
58;4;0;4;1;0;2;0;6;0;1;2;0;3;0;1;1;1;10;0;1;1;0;1;0;3;1;1;9;0;3;58;older
59;2;4;2;0;1;1;3;3;0;1;4;3;0;0;2;3;1;5;0;1;2;2;2;0;2;0;3;6;0;3;59;older
60;6;3;3;0;1;1;3;2;0;0;2;4;3;0;1;1;2;4;0;1;1;1;5;0;4;0;3;1;0;4;60;older
61;3;1;4;0;1;3;2;3;0;2;1;2;7;0;1;2;1;3;0;2;1;1;3;1;0;3;2;6;0;1;61;older
62;1;2;4;0;1;3;3;1;0;2;1;2;4;0;0;0;2;4;0;6;1;3;1;0;3;1;3;5;0;2;62;older
